628	2	
7.6088297921954473058e-01	-3.6739689113136492216e-03	0.0000000000000000000e+00	
7.6001403411923629250e-01	-3.7530245853893834385e-03	0.0000000000000000000e+00	
7.5913605079314983026e-01	-3.8327933246638055259e-03	0.0000000000000000000e+00	
7.5824905128323560888e-01	-3.9132699670006770507e-03	0.0000000000000000000e+00	
7.5735305785779738486e-01	-3.9944493186963329553e-03	0.0000000000000000000e+00	
7.5644809301093285381e-01	-4.0763261551148661718e-03	0.0000000000000000000e+00	
7.5553417946196932409e-01	-4.1588952213203805516e-03	0.0000000000000000000e+00	
7.5461134015489284010e-01	-4.2421512327061750708e-03	0.0000000000000000000e+00	
7.5367959825777253169e-01	-4.3260888756203414937e-03	0.0000000000000000000e+00	
7.5273897716217852416e-01	-4.4107028079880357049e-03	0.0000000000000000000e+00	
7.5178950048259562955e-01	-4.4959876599296316746e-03	0.0000000000000000000e+00	
7.5083119205582959932e-01	-4.5819380343751032678e-03	0.0000000000000000000e+00	
7.4986407594040882518e-01	-4.6685485076740631735e-03	0.0000000000000000000e+00	
7.4888817641598082187e-01	-4.7558136302012108884e-03	0.0000000000000000000e+00	
7.4790351798270227057e-01	-4.8437279269572600104e-03	0.0000000000000000000e+00	
7.4691012536062395544e-01	-4.9322858981649363164e-03	0.0000000000000000000e+00	
7.4590802348907025987e-01	-5.0214820198598575374e-03	0.0000000000000000000e+00	
7.4489723752601344486e-01	-5.1113107444760432982e-03	0.0000000000000000000e+00	
7.4387779284744104391e-01	-5.2017665014260795059e-03	0.0000000000000000000e+00	
7.4284971504671981624e-01	-5.2928436976755225893e-03	0.0000000000000000000e+00	
7.4181302993395270562e-01	-5.3845367183113120035e-03	0.0000000000000000000e+00	
7.4076776353533080322e-01	-5.4768399271043263082e-03	0.0000000000000000000e+00	
7.3971394209248053642e-01	-5.5697476670652969893e-03	0.0000000000000000000e+00	
7.3865159206180419638e-01	-5.6632542609948537116e-03	0.0000000000000000000e+00	
7.3758074011381591362e-01	-5.7573540120262568440e-03	0.0000000000000000000e+00	
7.3650141313247263763e-01	-5.8520412041619838603e-03	0.0000000000000000000e+00	
7.3541363821449801108e-01	-5.9473101028026768844e-03	0.0000000000000000000e+00	
7.3431744266870324633e-01	-6.0431549552695737471e-03	0.0000000000000000000e+00	
7.3321285401530167380e-01	-6.1395699913191137051e-03	0.0000000000000000000e+00	
7.3209989998521651788e-01	-6.2365494236504741624e-03	0.0000000000000000000e+00	
7.3097860851938589732e-01	-6.3340874484051129176e-03	0.0000000000000000000e+00	
7.2984900776806060918e-01	-6.4321782456587374768e-03	0.0000000000000000000e+00	
7.2871112609009802696e-01	-6.5308159799054403549e-03	0.0000000000000000000e+00	
7.2756499205225000360e-01	-6.6299948005333758649e-03	0.0000000000000000000e+00	
7.2641063442844533427e-01	-6.7297088422925144258e-03	0.0000000000000000000e+00	
7.2524808219906755635e-01	-6.8299522257542254547e-03	0.0000000000000000000e+00	
7.2407736455022775335e-01	-6.9307190577616931138e-03	0.0000000000000000000e+00	
7.2289851087303125254e-01	-7.0320034318725258005e-03	0.0000000000000000000e+00	
7.2171155076283988183e-01	-7.1337994287920024686e-03	0.0000000000000000000e+00	
7.2051651401852989665e-01	-7.2361011167977459455e-03	0.0000000000000000000e+00	
7.1931343064174235735e-01	-7.3389025521554797707e-03	0.0000000000000000000e+00	
7.1810233083613084215e-01	-7.4421977795256118171e-03	0.0000000000000000000e+00	
7.1688324500660305372e-01	-7.5459808323604347924e-03	0.0000000000000000000e+00	
7.1565620375855742985e-01	-7.6502457332925160802e-03	0.0000000000000000000e+00	
7.1442123789711498016e-01	-7.7549864945131996574e-03	0.0000000000000000000e+00	
7.1317837842634557166e-01	-7.8601971181419955093e-03	0.0000000000000000000e+00	
7.1192765654848977341e-01	-7.9658715965863716862e-03	0.0000000000000000000e+00	
7.1066910366317559422e-01	-8.0720039128916679788e-03	0.0000000000000000000e+00	
7.0940275136662978017e-01	-8.1785880410816854530e-03	0.0000000000000000000e+00	
7.0812863145088522643e-01	-8.2856179464891512726e-03	0.0000000000000000000e+00	
7.0684677590298239380e-01	-8.3930875860765037644e-03	0.0000000000000000000e+00	
7.0555721690416628444e-01	-8.5009909087469318067e-03	0.0000000000000000000e+00	
7.0425998682907886561e-01	-8.6093218556451012874e-03	0.0000000000000000000e+00	
7.0295511824494560926e-01	-8.7180743604482486414e-03	0.0000000000000000000e+00	
7.0164264391075858995e-01	-8.8272423496470291127e-03	0.0000000000000000000e+00	
7.0032259677645358753e-01	-8.9368197428162793328e-03	0.0000000000000000000e+00	
6.9899500998208363711e-01	-9.0468004528757080956e-03	0.0000000000000000000e+00	
6.9765991685698591773e-01	-9.1571783863405673692e-03	0.0000000000000000000e+00	
6.9631735091894553236e-01	-9.2679474435619565997e-03	0.0000000000000000000e+00	
6.9496734587335440292e-01	-9.3791015189570135779e-03	0.0000000000000000000e+00	
6.9360993561236450322e-01	-9.4906345012290543178e-03	0.0000000000000000000e+00	
6.9224515421403765014e-01	-9.6025402735772109192e-03	0.0000000000000000000e+00	
6.9087303594148907759e-01	-9.7148127138962613036e-03	0.0000000000000000000e+00	
6.8949361524202812390e-01	-9.8274456949658667293e-03	0.0000000000000000000e+00	
6.8810692674629270194e-01	-9.9404330846300723024e-03	0.0000000000000000000e+00	
6.8671300526738066061e-01	-1.0053768745966031387e-02	0.0000000000000000000e+00	
6.8531188579997470711e-01	-1.0167446537443312199e-02	0.0000000000000000000e+00	
6.8390360351946533068e-01	-1.0281460313072412691e-02	0.0000000000000000000e+00	
6.8248819378106628797e-01	-1.0395803922543609549e-02	0.0000000000000000000e+00	
6.8106569211892797888e-01	-1.0510471211355600085e-02	0.0000000000000000000e+00	
6.7963613424524504936e-01	-1.0625456020934145179e-02	0.0000000000000000000e+00	
6.7819955604935899807e-01	-1.0740752188740767051e-02	0.0000000000000000000e+00	
6.7675599359685889578e-01	-1.0856353548371453291e-02	0.0000000000000000000e+00	
6.7530548312867466620e-01	-1.0972253929645672463e-02	0.0000000000000000000e+00	
6.7384806106016759131e-01	-1.1088447158685427185e-02	0.0000000000000000000e+00	
6.7238376398021582059e-01	-1.1204927057984632663e-02	0.0000000000000000000e+00	
6.7091262865029654971e-01	-1.1321687446468907401e-02	0.0000000000000000000e+00	
6.6943469200356198190e-01	-1.1438722139545803858e-02	0.0000000000000000000e+00	
6.6794999114391373496e-01	-1.1556024949145388830e-02	0.0000000000000000000e+00	
6.6645856334506936580e-01	-1.1673589683751572563e-02	0.0000000000000000000e+00	
6.6496044604962822877e-01	-1.1791410148424144935e-02	0.0000000000000000000e+00	
6.6345567686813078367e-01	-1.1909480144811501398e-02	0.0000000000000000000e+00	
6.6194429357811401804e-01	-1.2027793471154402116e-02	0.0000000000000000000e+00	
6.6042633412316398278e-01	-1.2146343922280544020e-02	0.0000000000000000000e+00	
6.5890183661196255471e-01	-1.2265125289590497401e-02	0.0000000000000000000e+00	
6.5737083931733097941e-01	-1.2384131361034687868e-02	0.0000000000000000000e+00	
6.5583338067526808501e-01	-1.2503355921081836521e-02	0.0000000000000000000e+00	
6.5428949928398738578e-01	-1.2622792750678936413e-02	0.0000000000000000000e+00	
6.5273923390294552593e-01	-1.2742435627202692433e-02	0.0000000000000000000e+00	
6.5118262345187194473e-01	-1.2862278324402860036e-02	0.0000000000000000000e+00	
6.4961970700978910465e-01	-1.2982314612337599036e-02	0.0000000000000000000e+00	
6.4805052381403338568e-01	-1.3102538257300511138e-02	0.0000000000000000000e+00	
6.4647511325926898529e-01	-1.3222943021740297953e-02	0.0000000000000000000e+00	
6.4489351489649926474e-01	-1.3343522664172591946e-02	0.0000000000000000000e+00	
6.4330576843207376569e-01	-1.3464270939084244799e-02	0.0000000000000000000e+00	
6.4171191372669156294e-01	-1.3585181596830381984e-02	0.0000000000000000000e+00	
6.4011199079440028736e-01	-1.3706248383524423026e-02	0.0000000000000000000e+00	
6.3850603980159126305e-01	-1.3827465040920970327e-02	0.0000000000000000000e+00	
6.3689410106599209094e-01	-1.3948825306291837145e-02	0.0000000000000000000e+00	
6.3527621505565345927e-01	-1.4070322912295769868e-02	0.0000000000000000000e+00	
6.3365242238793373364e-01	-1.4191951586841500266e-02	0.0000000000000000000e+00	
6.3202276382847921710e-01	-1.4313705052944578761e-02	0.0000000000000000000e+00	
6.3038728029020063559e-01	-1.4435577028578143108e-02	0.0000000000000000000e+00	
6.2874601283224573756e-01	-1.4557561226518085651e-02	0.0000000000000000000e+00	
6.2709900265896889593e-01	-1.4679651354182254863e-02	0.0000000000000000000e+00	
6.2544629111889649131e-01	-1.4801841113464324351e-02	0.0000000000000000000e+00	
6.2378791970368918651e-01	-1.4924124200562492379e-02	0.0000000000000000000e+00	
6.2212393004709953814e-01	-1.5046494305803116004e-02	0.0000000000000000000e+00	
6.2045436392392727676e-01	-1.5168945113459448085e-02	0.0000000000000000000e+00	
6.1877926324897092325e-01	-1.5291470301565850132e-02	0.0000000000000000000e+00	
6.1709867007597418720e-01	-1.5414063541727749881e-02	0.0000000000000000000e+00	
6.1541262659657169909e-01	-1.5536718498927126753e-02	0.0000000000000000000e+00	
6.1372117513922930243e-01	-1.5659428831324321424e-02	0.0000000000000000000e+00	
6.1202435816818057113e-01	-1.5782188190056108817e-02	0.0000000000000000000e+00	
6.1032221828236199457e-01	-1.5904990219030246124e-02	0.0000000000000000000e+00	
6.0861479821434272264e-01	-1.6027828554716776893e-02	0.0000000000000000000e+00	
6.0690214082925164618e-01	-1.6150696825936335793e-02	0.0000000000000000000e+00	
6.0518428912370192396e-01	-1.6273588653645764540e-02	0.0000000000000000000e+00	
