628	2	
9.094562e-01	-8.287494e-03	0.000000e+00	
9.080133e-01	-8.412136e-03	0.000000e+00	
9.065601e-01	-8.537440e-03	0.000000e+00	
9.050967e-01	-8.663399e-03	0.000000e+00	
9.036231e-01	-8.790004e-03	0.000000e+00	
9.021394e-01	-8.917249e-03	0.000000e+00	
9.006456e-01	-9.045126e-03	0.000000e+00	
8.991418e-01	-9.173628e-03	0.000000e+00	
8.976279e-01	-9.302747e-03	0.000000e+00	
8.961041e-01	-9.432476e-03	0.000000e+00	
8.945703e-01	-9.562807e-03	0.000000e+00	
8.930265e-01	-9.693733e-03	0.000000e+00	
8.914730e-01	-9.825246e-03	0.000000e+00	
8.899096e-01	-9.957339e-03	0.000000e+00	
8.883364e-01	-1.009000e-02	0.000000e+00	
8.867534e-01	-1.022324e-02	0.000000e+00	
8.851608e-01	-1.035702e-02	0.000000e+00	
8.835585e-01	-1.049136e-02	0.000000e+00	
8.819465e-01	-1.062624e-02	0.000000e+00	
8.803250e-01	-1.076165e-02	0.000000e+00	
8.786939e-01	-1.089759e-02	0.000000e+00	
8.770533e-01	-1.103405e-02	0.000000e+00	
8.754032e-01	-1.117102e-02	0.000000e+00	
8.737438e-01	-1.130850e-02	0.000000e+00	
8.720749e-01	-1.144647e-02	0.000000e+00	
8.703967e-01	-1.158493e-02	0.000000e+00	
8.687092e-01	-1.172388e-02	0.000000e+00	
8.670124e-01	-1.186329e-02	0.000000e+00	
8.653064e-01	-1.200318e-02	0.000000e+00	
8.635913e-01	-1.214352e-02	0.000000e+00	
8.618670e-01	-1.228431e-02	0.000000e+00	
8.601337e-01	-1.242554e-02	0.000000e+00	
8.583913e-01	-1.256721e-02	0.000000e+00	
8.566399e-01	-1.270931e-02	0.000000e+00	
8.548795e-01	-1.285183e-02	0.000000e+00	
8.531102e-01	-1.299475e-02	0.000000e+00	
8.513321e-01	-1.313809e-02	0.000000e+00	
8.495452e-01	-1.328182e-02	0.000000e+00	
8.477494e-01	-1.342594e-02	0.000000e+00	
8.459450e-01	-1.357044e-02	0.000000e+00	
8.441319e-01	-1.371532e-02	0.000000e+00	
8.423101e-01	-1.386056e-02	0.000000e+00	
8.404797e-01	-1.400616e-02	0.000000e+00	
8.386408e-01	-1.415211e-02	0.000000e+00	
8.367934e-01	-1.429840e-02	0.000000e+00	
8.349375e-01	-1.444503e-02	0.000000e+00	
8.330732e-01	-1.459199e-02	0.000000e+00	
8.312006e-01	-1.473926e-02	0.000000e+00	
8.293196e-01	-1.488685e-02	0.000000e+00	
8.274304e-01	-1.503474e-02	0.000000e+00	
8.255329e-01	-1.518293e-02	0.000000e+00	
8.236273e-01	-1.533141e-02	0.000000e+00	
8.217135e-01	-1.548016e-02	0.000000e+00	
8.197917e-01	-1.562919e-02	0.000000e+00	
8.178619e-01	-1.577849e-02	0.000000e+00	
8.159240e-01	-1.592804e-02	0.000000e+00	
8.139783e-01	-1.607785e-02	0.000000e+00	
8.120246e-01	-1.622789e-02	0.000000e+00	
8.100632e-01	-1.637817e-02	0.000000e+00	
8.080939e-01	-1.652868e-02	0.000000e+00	
8.061169e-01	-1.667940e-02	0.000000e+00	
8.041322e-01	-1.683034e-02	0.000000e+00	
8.021399e-01	-1.698148e-02	0.000000e+00	
8.001400e-01	-1.713281e-02	0.000000e+00	
7.981325e-01	-1.728433e-02	0.000000e+00	
7.961176e-01	-1.743603e-02	0.000000e+00	
7.940953e-01	-1.758790e-02	0.000000e+00	
7.920655e-01	-1.773994e-02	0.000000e+00	
7.900285e-01	-1.789213e-02	0.000000e+00	
7.879841e-01	-1.804447e-02	0.000000e+00	
7.859325e-01	-1.819695e-02	0.000000e+00	
7.838738e-01	-1.834956e-02	0.000000e+00	
7.818079e-01	-1.850230e-02	0.000000e+00	
7.797349e-01	-1.865516e-02	0.000000e+00	
7.776549e-01	-1.880812e-02	0.000000e+00	
7.755680e-01	-1.896118e-02	0.000000e+00	
7.734741e-01	-1.911434e-02	0.000000e+00	
7.713733e-01	-1.926758e-02	0.000000e+00	
7.692658e-01	-1.942090e-02	0.000000e+00	
7.671515e-01	-1.957429e-02	0.000000e+00	
7.650304e-01	-1.972774e-02	0.000000e+00	
7.629028e-01	-1.988124e-02	0.000000e+00	
7.607685e-01	-2.003479e-02	0.000000e+00	
7.586277e-01	-2.018837e-02	0.000000e+00	
7.564804e-01	-2.034199e-02	0.000000e+00	
7.543266e-01	-2.049562e-02	0.000000e+00	
7.521665e-01	-2.064927e-02	0.000000e+00	
7.500000e-01	-2.080293e-02	0.000000e+00	
7.478273e-01	-2.095658e-02	0.000000e+00	
7.456483e-01	-2.111022e-02	0.000000e+00	
7.434632e-01	-2.126385e-02	0.000000e+00	
7.412719e-01	-2.141744e-02	0.000000e+00	
7.390746e-01	-2.157100e-02	0.000000e+00	
7.368713e-01	-2.172452e-02	0.000000e+00	
7.346620e-01	-2.187799e-02	0.000000e+00	
7.324469e-01	-2.203140e-02	0.000000e+00	
7.302259e-01	-2.218474e-02	0.000000e+00	
